T,P,L,D,Catalysis
360,6.0,7.0,7.0,161553.0
360,6.0,7.0,7.5,185456.25
360,6.0,7.0,8.0,211008.0
360,6.0,7.0,8.5,238208.25
360,6.0,7.0,9.0,267057.0
360,6.0,7.0,9.5,297554.25
360,6.0,7.0,10.0,329700.0
360,6.0,7.5,2.0,14130.0
360,6.0,7.5,2.5,22078.125
360,6.0,7.5,3.0,31792.5
360,6.0,7.5,3.5,43273.125
360,6.0,7.5,4.0,56520.0
360,6.0,7.5,4.5,71533.125
360,6.0,7.5,5.0,88312.5
360,6.0,7.5,5.5,106858.125
360,6.0,7.5,6.0,127170.0
360,6.0,7.5,6.5,149248.125
360,6.0,7.5,7.0,173092.5
360,6.0,7.5,7.5,198703.125
360,6.0,7.5,8.0,226080.0
360,6.0,7.5,8.5,255223.125
360,6.0,7.5,9.0,286132.5
360,6.0,7.5,9.5,318808.125
360,6.0,7.5,10.0,353250.0
360,6.0,8.0,2.0,15072.0
360,6.0,8.0,2.5,23550.0
360,6.0,8.0,3.0,33912.0
360,6.0,8.0,3.5,46158.0
360,6.0,8.0,4.0,60288.0
360,6.0,8.0,4.5,76302.0
360,6.0,8.0,5.0,94200.0
360,6.0,8.0,5.5,113982.0
360,6.0,8.0,6.0,135648.0
360,6.0,8.0,6.5,159198.0
360,6.0,8.0,7.0,184632.0
360,6.0,8.0,7.5,211950.0
360,6.0,8.0,8.0,241152.0
360,6.0,8.0,8.5,272238.0
360,6.0,8.0,9.0,305208.0
360,6.0,8.0,9.5,340062.0
360,6.0,8.0,10.0,376800.0
360,6.3,3.0,2.0,5652.0
360,6.3,3.0,2.5,8831.25
360,6.3,3.0,3.0,12717.0
360,6.3,3.0,3.5,17309.25
360,6.3,3.0,4.0,22608.0
360,6.3,3.0,4.5,28613.25
360,6.3,3.0,5.0,35325.0
360,6.3,3.0,5.5,42743.25
360,6.3,3.0,6.0,50868.0
360,6.3,3.0,6.5,59699.25
360,6.3,3.0,7.0,69237.0
360,6.3,3.0,7.5,79481.25
360,6.3,3.0,8.0,90432.0
360,6.3,3.0,8.5,102089.25
360,6.3,3.0,9.0,114453.0
360,6.3,3.0,9.5,127523.25
360,6.3,3.0,10.0,141300.0
360,6.3,3.5,2.0,6594.0
360,6.3,3.5,2.5,10303.125
360,6.3,3.5,3.0,14836.5
360,6.3,3.5,3.5,20194.125
360,6.3,3.5,4.0,26376.0
360,6.3,3.5,4.5,33382.125
360,6.3,3.5,5.0,41212.5
360,6.3,3.5,5.5,49867.125
360,6.3,3.5,6.0,59346.0
360,6.3,3.5,6.5,69649.125
360,6.3,3.5,7.0,80776.5
360,6.3,3.5,7.5,92728.125
360,6.3,3.5,8.0,105504.0
360,6.3,3.5,8.5,119104.125
360,6.3,3.5,9.0,133528.5
360,6.3,3.5,9.5,148777.125
360,6.3,3.5,10.0,164850.0
360,6.3,4.0,2.0,7536.0
360,6.3,4.0,2.5,11775.0
360,6.3,4.0,3.0,16956.0
360,6.3,4.0,3.5,23079.0
360,6.3,4.0,4.0,30144.0
360,6.3,4.0,4.5,38151.0
